"id","left","top","right","bottom","row_index","col_index","green_percent","area","gyrate","contig","enn","fwei_change_mean","flood_share","mean_dist_green"
3327,83043,448497.952,83143,448397.952,26,33,9.5,0.02375,7.60454829376522,0.332125603864734,26.9188494866141,0.00014461835140537,0.085,8.68432039373061
3328,83043,448397.952,83143,448297.952,27,33,14.25,0.00890625,3.58985226259032,0.14469696969697,11.8442778872617,0.0181992136278677,0.0675,4.71827937938549
3329,83043,448297.952,83143,448197.952,28,33,9.75,0.0195,4.66045639441831,0.251697530864197,25.8839357053293,-0.0132809375461102,0.0075,3.33333333333333
3330,83043,448197.952,83143,448097.952,29,33,23.5,0.0235,5.5827135897222,0.291065501591817,11.9251931326045,-0.0028768742106331,0.025,11.3936979293823
3331,83043,448097.952,83143,447997.952,30,33,42.75,0.106875,8.33344722557319,0.235279441117764,20.75693909433,0.0060245605099044,0.1025,4.33014558001262
3332,83043,447997.952,83143,447897.952,31,33,61.5,0.3075,18.503039122089,0.649239280774551,49.2442890089805,0.00679159747214726,0.095,1.18421052631579
3333,83043,447897.952,83143,447797.952,32,33,51.25,0.0569444444444444,7.86118357228597,0.327134293319919,11.7568209223158,-0.00443062639067648,0.085,1.44535693000345
3334,83043,447797.952,83143,447697.952,33,33,48.25,0.0965,12.1663755309997,0.307706093189964,14,0.0101691861598374,0.15,1.58333333333333
3335,83043,447697.952,83143,447597.952,34,33,36.75,0.0735,10.9463266395859,0.414363143631436,15,0.0092719649249193,0.08,0.9375
3336,83043,447597.952,83143,447497.952,35,33,54.25,0.135625,15.3780900676512,0.466833774008046,11.4528470752105,0.0120062945505379,0.04,0.9375
3337,83043,447497.952,83143,447397.952,36,33,40.25,0.0575,8.07347432624755,0.366310621745404,13.9438937594899,0.00191587791399797,0.0025,5
3338,83043,447397.952,83143,447297.952,37,33,56.5,0.188333333333333,13.3521826010046,0.336363636363636,14.120226591666,0.0254765430030352,0.2125,2.12182751823874
3339,83043,447297.952,83143,447197.952,38,33,33,0.066,6.85640700868344,0.116145833333333,14.4721359549996,0.0242762540055082,0.235,6.62156376940139
3340,83043,447197.952,83143,447097.952,39,33,19,0.0172727272727273,5.52562291666636,0.250974025974026,13.0933901307189,0.0180217000877747,0.0675,3.23679789790401
